Time [s],input,useful,fir_out,iir_out
8.599999999999999312e-02,4.558377813477094698e-01,1.516252626245055968e-01,1.796849569368253255e-02,-3.129064588529905100e-01
8.699999999999999400e-02,-1.815182607109396551e-01,-3.797368028693998143e-01,1.877053084754300855e-02,-3.898513235134847266e-01
8.799999999999999489e-02,-2.002470470022246651e+00,-1.028200429655057091e+00,1.674933513608791585e-02,-7.359868610840222258e-01
8.899999999999999578e-02,-6.931407440501147210e-01,-1.509685616770071848e+00,1.448819449756318448e-02,-1.385768331226753469e+00
8.999999999999999667e-02,-1.469791282362043372e+00,-1.616796077701763368e+00,1.442081060029445048e-02,-1.453888678103945509e+00
9.099999999999999756e-02,-2.465826982230218345e+00,-1.329342273185682544e+00,1.626488705304797444e-02,-1.501547874796525850e+00
9.199999999999999845e-02,-5.144121121950998576e-01,-8.239438074128810907e-01,1.689620955446361275e-02,-1.554621624814424230e+00
9.299999999999999933e-02,-9.451580279821106823e-01,-3.775536132772273623e-01,1.407166294167029943e-02,-9.539489297015385505e-01
9.400000000000000022e-02,-6.581392962533365587e-01,-2.172259769559373721e-01,1.059617422774116087e-02,-3.772175541910439689e-01
9.500000000000000111e-02,9.107258147394892145e-01,-3.975673177702121475e-01,1.010200257488462136e-02,1.008534582846930955e-01
9.600000000000000200e-02,-1.338097683874653887e+00,-7.722803694237015959e-01,1.184048420344569093e-02,4.084681674307805155e-01
9.700000000000000289e-02,-1.259737022951270324e+00,-1.075186064922048157e+00,1.232329193665533153e-02,-1.450325155758728779e-01
9.800000000000000377e-02,-5.716759757782500229e-01,-1.066743262584470386e+00,9.045150476768138922e-03,-6.477530744182090627e-01
9.900000000000000466e-02,-1.575486938216676513e+00,-6.665642887358056434e-01,4.447468467286592661e-03,-5.744322851708747457e-01
1.000000000000000056e-01,-4.893069536723710367e-01,-2.792194702055964849e-15,3.153173371111942826e-03,-4.447976283712104517e-01
1.010000000000000064e-01,1.306691822304699491e+00,6.665642887358012025e-01,4.860007696543487341e-03,2.257530925424864332e-01
1.019999999999999934e-01,5.427022202540195961e-01,1.066743262584464835e+00,4.682710202976792142e-03,1.217594337486286094e+00
1.029999999999999943e-01,1.233221080314692353e+00,1.075186064922052598e+00,3.457391036499827663e-04,1.568841874153449334e+00
1.039999999999999952e-01,1.591621842919277441e+00,7.722803694237047045e-01,-5.096723775586660052e-03,1.609538898556023057e+00
1.049999999999999961e-01,-3.529689690363866927e-01,3.975673177702204741e-01,-6.921682434702757479e-03,1.348281296907156923e+00
1.059999999999999970e-01,6.783510568990944734e-01,2.172259769559379272e-01,-5.024314310239723878e-03,6.621703150699906892e-01
1.069999999999999979e-01,7.540806819505788683e-01,3.775536132772185915e-01,-5.288010568447645832e-03,4.580024666041171977e-01
1.079999999999999988e-01,1.849429868222995654e-01,8.239438074128671019e-01,-1.090956151562847386e-02,5.964300282750882864e-01
1.089999999999999997e-01,2.263507461322569636e+00,1.329342273185670775e+00,-1.772518789628614935e-02,8.377262129889556652e-01
1.100000000000000006e-01,1.416307511591770263e+00,1.616796077701760481e+00,-2.020075808401047834e-02,1.375317047922264946e+00
1.110000000000000014e-01,2.904597315608576924e-01,1.509685616770080285e+00,-1.827042462725953637e-02,1.269233344624948856e+00
1.120000000000000023e-01,1.817732317361622885e+00,1.028200429655073300e+00,-1.828409313004387970e-02,7.216802714433908639e-01
1.130000000000000032e-01,-2.039558146105224790e-02,3.797368028694167452e-01,-2.485986236047052836e-02,4.977743161583633169e-01
1.140000000000000041e-01,-6.286477662998662952e-01,-1.516252626244951607e-01,-3.311291604839623065e-02,-8.101313262930395775e-02
1.150000000000000050e-01,8.593524384781114911e-01,-3.567225670316598318e-01,-3.576583130345038775e-02,-5.672972622148706456e-01
1.160000000000000059e-01,-9.578329914139555035e-01,-2.118943383068966069e-01,-3.349913498511076365e-02,-5.030089407662193812e-01
1.170000000000000068e-01,5.527814014980167445e-02,1.112924014860828814e-01,-3.362063864999626644e-02,-5.960373977551107760e-01
1.179999999999999938e-01,1.339651759824819210e+00,3.423396606865544700e-01,-4.114843991486752395e-02,-3.159968829974932336e-01
1.189999999999999947e-01,-2.702077518270462608e-01,2.618217839450141526e-01,-5.097720307956394442e-02,2.002052688496239741e-01
1.199999999999999956e-01,1.032914641049738902e-01,-1.763355756877283964e-01,-5.391426020626033377e-02,-1.946752912754270981e-03
1.209999999999999964e-01,-2.840788650572996232e-01,-8.167018909164177609e-01,-5.040053081791685125e-02,-4.249563482064710462e-01
1.219999999999999973e-01,-2.314909834665380473e+00,-1.383687195445060247e+00,-5.009852260783277667e-02,-9.999645122147572396e-01
1.229999999999999982e-01,-1.121435900647817174e+00,-1.628395195788040706e+00,-5.855746338748805957e-02,-1.708458252446504400e+00
1.239999999999999991e-01,-8.111670175802927485e-01,-1.461470224878773649e+00,-6.971905317336643537e-02,-1.606968049611068095e+00
1.250000000000000000e-01,-1.452405464461858919e+00,-1.000000000000007550e+00,-7.298685590821091251e-02,-1.096857442494970636e+00
1.260000000000000009e-01,2.019631970823319855e-02,-5.031042765786151172e-01,-6.815790663582851905e-02,-7.524391464403039631e-01
