Frequency [Hz],FIR,IIR
2.551892551892551708e+01,1.272526103537708741e-03,-1.011444026834895510e-01
2.564102564102563875e+01,1.527900708422342711e-03,-9.926978705070349518e-02
2.576312576312576397e+01,1.763810571452253343e-03,-9.743904134933684125e-02
2.588522588522588563e+01,1.977004670370427659e-03,-9.565097101134559243e-02
2.600732600732600730e+01,2.164578037621719443e-03,-9.390441907936808441e-02
2.612942612942612897e+01,2.324013765717674804e-03,-9.219826488069240988e-02
2.625152625152625063e+01,2.453218136895408269e-03,-9.053142275428105457e-02
2.637362637362637230e+01,2.550548490186602384e-03,-8.890284082648301778e-02
2.649572649572649397e+01,2.614833562069805196e-03,-8.731149983309120788e-02
2.661782661782661563e+01,2.645386159276602762e-03,-8.575641198778152785e-02
2.673992673992674085e+01,2.642008143291781162e-03,-8.423661989361139191e-02
2.686202686202686252e+01,2.604987823039751817e-03,-8.275119549500915828e-02
2.698412698412698418e+01,2.535089964486091172e-03,-8.129923907022632013e-02
2.710622710622710585e+01,2.433538731500042244e-03,-7.987987826309729533e-02
2.722832722832722752e+01,2.301993970238461196e-03,-7.849226714907825420e-02
2.735042735042734918e+01,2.142521338572553335e-03,-7.713558533777620241e-02
2.747252747252747085e+01,1.957556861147125449e-03,-7.580903710939504436e-02
2.759462759462759252e+01,1.749866559783688899e-03,-7.451185058219278456e-02
2.771672771672771418e+01,1.522501866015146203e-03,-7.324327691280997643e-02
2.783882783882783940e+01,1.278751568697692950e-03,-7.200258952365388987e-02
2.796092796092796107e+01,1.022091082930373651e-03,-7.078908336141902236e-02
2.808302808302808273e+01,7.561298481874865248e-04,-6.960207418166848570e-02
2.820512820512820440e+01,4.845576726532439663e-04,-6.844089786014045940e-02
2.832722832722832607e+01,2.110908379257837311e-04,-6.730490972841364494e-02
2.844932844932844773e+01,-6.058123652027682201e-05,-6.619348393511083339e-02
2.857142857142856940e+01,-3.268479956416664532e-04,-6.510601282874269036e-02
2.869352869352869106e+01,-5.842276808269306282e-04,-6.404190636538301118e-02
2.881562881562881628e+01,-8.294145014994928639e-04,-6.300059153489087627e-02
