Sample,FIR,IIR
5.600000000000000000e+01,-7.140715075597224831e-04,5.916669907522867887e-03
5.700000000000000000e+01,-2.055316428260929281e-04,5.864174223312276432e-03
5.800000000000000000e+01,1.404920579742027428e-03,5.793982590598488122e-03
5.900000000000000000e+01,2.021741552337186481e-03,5.707864830484504076e-03
6.000000000000000000e+01,8.270841101499981293e-04,5.607500467641879718e-03
6.100000000000000000e+01,-4.565892364570066733e-04,5.494480061156413638e-03
6.200000000000000000e+01,1.457056599880679015e-04,5.370306758400032049e-03
6.300000000000000000e+01,2.050413421200381926e-03,5.236398047094550229e-03
6.400000000000000000e+01,2.771570004066998584e-03,5.094087682095573347e-03
6.500000000000000000e+01,1.346251008421409752e-03,4.944627764760222213e-03
6.600000000000000000e+01,-1.835363687386301916e-04,4.789190954067929287e-03
6.700000000000000000e+01,5.126267515739423714e-04,4.628872789936797419e-03
6.800000000000000000e+01,2.739454232985588829e-03,4.464694110416922088e-03
6.900000000000000000e+01,3.565137604959204166e-03,4.297603545644851017e-03
7.000000000000000000e+01,1.861486300225942934e-03,4.128480072608549725e-03
7.100000000000000000e+01,3.541616096527442216e-05,3.958135615898659976e-03
7.200000000000000000e+01,8.228603659058684495e-04,3.787317680708460633e-03
7.300000000000000000e+01,3.401020272543481531e-03,3.616712005391118333e-03
7.400000000000000000e+01,4.329568608800462952e-03,3.446945221888004368e-03
7.500000000000000000e+01,2.291839778127643858e-03,3.278587513305682589e-03
7.600000000000000000e+01,1.110492842609834722e-04,3.112155258841654837e-03
7.700000000000000000e+01,9.860074665260542322e-04,2.948113657139954033e-03
7.800000000000000000e+01,3.948775209980695880e-03,2.786879319997524924e-03
7.900000000000000000e+01,4.978635585046105663e-03,2.628822829141278915e-03
8.000000000000000000e+01,2.543306703940529084e-03,2.474271249554237627e-03
8.100000000000000000e+01,-5.867109891747184386e-05,2.323510593547875765e-03
8.200000000000000000e+01,9.011349619342740383e-04,2.176788230457261594e-03
8.300000000000000000e+01,4.289718991933938290e-03,2.034315237476697243e-03
8.400000000000000000e+01,5.422195280397459904e-03,1.896268687757081753e-03
8.500000000000000000e+01,2.518296363348465627e-03,1.762793872453074107e-03
8.600000000000000000e+01,-5.792161794975684121e-04,1.634006453939320074e-03
8.700000000000000000e+01,4.668058583109232986e-04,1.509994547911535766e-03
8.800000000000000000e+01,4.335453144950422721e-03,1.390820732551174312e-03
8.900000000000000000e+01,5.578142367173182826e-03,1.276523983362870844e-03
9.000000000000000000e+01,2.127147890276726277e-03,1.167121532692973846e-03
9.100000000000000000e+01,-1.548607383123443582e-03,1.062610653306400805e-03
9.200000000000000000e+01,-4.075396504541666052e-04,9.629703657389775736e-04
