Frequency [Hz],Input,FIR out,IIR out
5.375000000000000000e+01,1.819284279622858236e+01,1.890541885280716983e+01,1.818500673146476387e+01
5.400000000000000000e+01,1.105108693470406145e+01,1.393433130955114407e+01,1.107190837904273018e+01
5.425000000000000000e+01,1.724179576654720591e+01,1.851333168675780172e+01,1.723992048670322319e+01
5.450000000000000000e+01,1.189379994072050550e+01,1.350270002675406644e+01,1.189477835568573383e+01
5.475000000000000000e+01,1.582600200115011546e+01,1.649162125393419842e+01,1.581617377484485232e+01
5.500000000000000000e+01,2.001015788949892382e+01,2.079397988560184984e+01,2.000217504638452581e+01
5.525000000000000000e+01,1.715578371228512822e+01,1.887144879184190316e+01,1.715908778500386234e+01
5.550000000000000000e+01,1.847367005771823045e+01,2.033042563359597921e+01,1.847816216791862232e+01
5.575000000000000000e+01,2.528618768685303664e+01,2.568204977859440774e+01,2.527232856636108949e+01
5.600000000000000000e+01,2.340313318143051546e+01,2.335252705449724075e+01,2.338401118848153715e+01
5.625000000000000000e+01,1.811012157142403822e+01,1.829117941683868764e+01,1.809421640117684404e+01
5.650000000000000000e+01,1.774614096177183598e+01,1.839179920676946267e+01,1.773489172237487566e+01
5.675000000000000000e+01,1.461357485017111379e+01,1.723988931827655335e+01,1.463080491054583376e+01
5.700000000000000000e+01,2.085607733074568415e+01,2.166602559208351764e+01,2.084519005268525405e+01
5.725000000000000000e+01,1.955485389162578969e+01,1.977851346285441281e+01,1.953808484177228877e+01
5.750000000000000000e+01,6.488819375733778649e+00,3.566494590584088797e+00,6.432800361668554956e+00
5.775000000000000000e+01,1.461665826755019637e+01,1.374407757605809621e+01,1.458502501849521416e+01
5.800000000000000000e+01,1.610024826510591467e+01,1.770624069124278677e+01,1.610063802905908759e+01
5.825000000000000000e+01,1.942210734873541966e+01,1.991464746586487777e+01,1.940617902591497668e+01
5.850000000000000000e+01,1.634430572804208381e+01,1.708388859760128753e+01,1.633297861516743410e+01
5.875000000000000000e+01,1.702234130320592698e+01,1.749058377300121236e+01,1.700589266694728963e+01
5.900000000000000000e+01,1.904099648079370155e+01,1.875124478862203148e+01,1.901562096289710269e+01
5.925000000000000000e+01,1.453645071439299130e+01,1.282466446657876524e+01,1.449695235751207534e+01
5.950000000000000000e+01,1.756427118435897583e+01,1.690219320122792723e+01,1.753522675300255429e+01
5.975000000000000000e+01,1.928095736716045039e+01,1.863948726687559443e+01,1.925077307938908433e+01
