Frequency [Hz],Input,FIR out,IIR out
6.000000000000000000e+01,1.706882639936448243e+01,1.833246438525334554e+01,1.706343034812761061e+01
6.025000000000000000e+01,1.545218084172129380e+01,1.708979365132363881e+01,1.544682731188967217e+01
6.050000000000000000e+01,2.100445921282957684e+01,2.210036558305880661e+01,2.099233260238076682e+01
6.075000000000000000e+01,2.245083678384958503e+01,2.228888939485025134e+01,2.242412315546298629e+01
6.100000000000000000e+01,1.897533615205379576e+01,1.806547494973915846e+01,1.893582428287411190e+01
6.125000000000000000e+01,2.570522174049531117e+01,2.526630831610279770e+01,2.567554669363921960e+01
6.150000000000000000e+01,2.110911023502406891e+01,1.929518375300966682e+01,2.106559006836272374e+01
6.175000000000000000e+01,2.021447560893734163e+01,1.909714117942689882e+01,2.017790919270835204e+01
6.200000000000000000e+01,2.113682195442697065e+01,1.997912519095406481e+01,2.109928704049805503e+01
6.225000000000000000e+01,2.220483513292916911e+01,2.140350789844089263e+01,2.217011364708705656e+01
6.250000000000000000e+01,1.756717405665850862e+01,1.711316948788700998e+01,1.753516777376811575e+01
6.275000000000000000e+01,8.684704292675180071e+00,8.752196654603297432e+00,8.648879449117035989e+00
6.300000000000000000e+01,1.811303248393392806e+01,1.793900479856328545e+01,1.808398461367583820e+01
6.325000000000000000e+01,1.159885809983627958e+01,1.268878319721290637e+01,1.158230520862310087e+01
6.350000000000000000e+01,1.598003160206315698e+01,1.610135581260330540e+01,1.595283422289459807e+01
6.375000000000000000e+01,2.268356851104623573e+01,2.154842641253412694e+01,2.264358442422997797e+01
6.400000000000000000e+01,2.282472216999922310e+01,2.108745562650087635e+01,2.277753579446894605e+01
6.425000000000000000e+01,2.255098663643962809e+01,2.095089882540418103e+01,2.250487615769745275e+01
6.450000000000000000e+01,1.956277431656585719e+01,1.997616949473631109e+01,1.953810918194741220e+01
6.475000000000000000e+01,1.531021036287527082e+01,1.574716083584924142e+01,1.528406729868428293e+01
6.500000000000000000e+01,1.366467462528319743e+01,1.465261681680917683e+01,1.364483474815406261e+01
6.525000000000000000e+01,1.153621024644991166e+01,1.201299035323856756e+01,1.150928808341494403e+01
