Frequency [Hz],FIR,IIR
3.461538461538461320e+01,1.500000000000054285e+02,3.035438879651854549e+00
3.473748473748473486e+01,1.499999999999961631e+02,3.020596084106076606e+00
3.485958485958485653e+01,1.500000000000007958e+02,3.005923197271810121e+00
3.498168498168497820e+01,1.500000000000007958e+02,2.991417705784728653e+00
3.510378510378509986e+01,1.500000000000015916e+02,2.977077142368870888e+00
3.522588522588522153e+01,1.499999999999961631e+02,2.962899084813724659e+00
3.534798534798534320e+01,1.500000000000038369e+02,2.948881155050290470e+00
3.547008547008547197e+01,1.499999999999969589e+02,2.935021018128254333e+00
3.559218559218559363e+01,1.500000000000007958e+02,2.921316381375782090e+00
3.571428571428571530e+01,1.499999999999969589e+02,2.907764993456780633e+00
3.583638583638583697e+01,1.500000000000007958e+02,2.894364643495356493e+00
3.595848595848595863e+01,1.500000000000007958e+02,2.881113160227917636e+00
3.608058608058608030e+01,1.500000000000007958e+02,2.868008411162412674e+00
3.620268620268620197e+01,1.500000000000015916e+02,2.855048301802635358e+00
3.632478632478632363e+01,1.499999999999961631e+02,2.842230774757967371e+00
3.644688644688644530e+01,1.500000000000054285e+02,2.829553809047713475e+00
3.656898656898656697e+01,1.499999999999961631e+02,2.817015419329028880e+00
3.669108669108668863e+01,1.500000000000007958e+02,2.804613655129029937e+00
3.681318681318681030e+01,1.500000000000007958e+02,2.792346600148832625e+00
3.693528693528693196e+01,1.500000000000015916e+02,2.780212371541338268e+00
3.705738705738705363e+01,1.499999999999961631e+02,2.768209119187157619e+00
3.717948717948717530e+01,1.500000000000007958e+02,2.756335025182890419e+00
3.730158730158730407e+01,1.499999999999992042e+02,2.744588302889609643e+00
3.742368742368742573e+01,1.500000000000015916e+02,2.732967196585587732e+00
3.754578754578754740e+01,1.500000000000007958e+02,2.721469980680549572e+00
3.766788766788766907e+01,1.500000000000007958e+02,2.710094959134614623e+00
3.778998778998779073e+01,1.499999999999961631e+02,2.698840464870038147e+00
3.791208791208791240e+01,1.500000000000007958e+02,2.687704859153822401e+00
3.803418803418803407e+01,1.500000000000007958e+02,2.676686531099873090e+00
3.815628815628815573e+01,1.500000000000015916e+02,2.665783897013353165e+00
3.827838827838827740e+01,1.499999999999961631e+02,2.654995399954897639e+00
3.840048840048839907e+01,1.500000000000054285e+02,2.644319509076683339e+00
3.852258852258852073e+01,1.499999999999961631e+02,2.633754719249691068e+00
3.864468864468864240e+01,1.500000000000007958e+02,2.623299550393723756e+00
3.876678876678876406e+01,1.500000000000007958e+02,2.612952547167833650e+00
3.888888888888888573e+01,1.500000000000015916e+02,2.602712278311892113e+00
3.901098901098900740e+01,1.499999999999961631e+02,2.592577336238418795e+00
3.913308913308912906e+01,1.500000000000007958e+02,2.582546336625553440e+00
3.925518925518925073e+01,1.500000000000007958e+02,2.572617917875385185e+00
3.937728937728937240e+01,1.500000000000000000e+02,2.562790740683929425e+00
3.949938949938950117e+01,1.500000000000007958e+02,2.553063487693077782e+00
3.962148962148962283e+01,1.500000000000007958e+02,2.543434862924249806e+00
3.974358974358974450e+01,1.499999999999961631e+02,2.533903591517712606e+00
3.986568986568986617e+01,1.500000000000015916e+02,2.524468419203253600e+00
3.998778998778998783e+01,1.500000000000000000e+02,2.515128111940581501e+00
4.010989010989010950e+01,1.500000000000015916e+02,2.505881455596656870e+00
4.023199023199023117e+01,1.499999999999969589e+02,2.496727255461949735e+00
4.035409035409035283e+01,1.500000000000000000e+02,2.487664335965452445e+00
4.047619047619047450e+01,1.500000000000015916e+02,2.478691540239838620e+00
4.059829059829059617e+01,1.500000000000046327e+02,2.469807729849281763e+00
4.072039072039071783e+01,1.499999999999923261e+02,2.461011784365837674e+00
4.084249084249083950e+01,1.500000000000092655e+02,2.452302601029590967e+00
4.096459096459096116e+01,1.499999999999923261e+02,2.443679094542307251e+00
4.108669108669108283e+01,1.500000000000000000e+02,2.435140196554266279e+00
4.120879120879120450e+01,1.500000000000015916e+02,2.426684855466486823e+00
4.133089133089133327e+01,1.500000000000000000e+02,2.418312036128558162e+00
4.145299145299145493e+01,1.500000000000000000e+02,2.410020719436076320e+00
4.157509157509157660e+01,1.500000000000015916e+02,2.401809902158467569e+00
4.169719169719169827e+01,1.500000000000015916e+02,2.393678596531269687e+00
4.181929181929181993e+01,1.500000000000000000e+02,2.385625830046558260e+00
4.194139194139194160e+01,1.499999999999923261e+02,2.377650645134034679e+00
4.206349206349206327e+01,1.500000000000092655e+02,2.369752098943711527e+00
4.218559218559218493e+01,1.500000000000015916e+02,2.361929262963013532e+00
4.230769230769230660e+01,1.499999999999923261e+02,2.354181222908626303e+00
4.242979242979242827e+01,1.500000000000000000e+02,2.346507078322797923e+00
